NombreJugador,EdadJugador,EquipoJugador
Emiliano Martínez,33,Argentina
Nahuel Molina,25,Argentina
Cristian Romero,26,Argentina
Nicolás Otamendi,36,Argentina
Nicolás Tagliafico,33,Argentina
Rodrigo De Paul,29,Argentina
Enzo Fernández,23,Argentina
Alexis Mac Allister,25,Argentina
Lionel Messi,37,Argentina
Julián Álvarez,25,Argentina
Ángel Di María,36,Argentina
Mohammed Al‑Owais,35,Arabia Saudi
Saud Abdulhamid,28,Arabia Saudi
Hassan Al‑Tombakti,29,Arabia Saudi
Ali Al‑Bulayhi,38,Arabia Saudi
Yasser Al‑Shahrani,33,Arabia Saudi
Abdulelah Al‑Malki,31,Arabia Saudi
Mohamed Kanno,31,Arabia Saudi
Salem Al‑Dawsari,33,Arabia Saudi
Feras Al‑Buraikan,27,Arabia Saudi
Saleh Al‑Shehri,31,Arabia Saudi
Nasser Al‑Dawsari,26,Arabia Saudi
Guillermo Ochoa,39,México
Jorge Sánchez,26,México
Héctor Moreno,35,México
César Montes,26,México
Jesús Gallardo,30,México
Edson Álvarez,26,México
Héctor Herrera,34,México
Orbelín Pineda,28,México
Hirving Lozano,28,México
Raúl Jiménez,32,México
Alexis Vega,26,México
Wojciech Szczęsny,35,Polonia
Robert Gumny,25,Polonia
Kamil Glik,37,Polonia
Jakub Kiwior,23,Polonia
Szymon Żurkowski,26,Polonia
Sebastian Szymański,25,Polonia
Jakub Kamiński,22,Polonia
Kamil Grosicki,35,Polonia
Nicola Zalewski,20,Polonia
Krzysztof Piątek,29,Polonia
Karol Świderski,28,Polonia
Hugo Lloris,36,Francia
Jules Koundé,26,Francia
Raphaël Varane,31,Francia
Dayot Upamecano,25,Francia
Théo Hernandez,26,Francia
Aurélien Tchouaméni,25,Francia
Adrien Rabiot,28,Francia
Ousmane Dembélé,26,Francia
Antoine Griezmann,32,Francia
Kylian Mbappé,26,Francia
Olivier Giroud,37,Francia
Mathew Ryan,32,Australia
Fran Karacic,30,Australia
Harry Souttar,24,Australia
Aziz Behich,31,Australia
Bailey Wright,30,Australia
Jackson Irvine,29,Australia
Aaron Mooy,32,Australia
Kye Rowles,27,Australia
Awer Mabil,26,Australia
Jamie Maclaren,30,Australia
Martin Boyle,29,Australia
Kasper Schmeichel,38,Dinamarca
Jens Stryger Larsen,33,Dinamarca
Joakim Mæhle,26,Dinamarca
Simon Kjær,34,Dinamarca
Andreas Christensen,28,Dinamarca
Victor Nelsson,25,Dinamarca
Thomas Delaney,31,Dinamarca
Pierre‑Emile Højbjerg,28,Dinamarca
Mathias Jensen,27,Dinamarca
Christian Eriksen,33,Dinamarca
Mikkel Damsgaard,24,Dinamarca
Aymen Mathlouthi,36,Túnez
Montassar Talbi,26,Túnez
Nader Ghandri,28,Túnez
Ali Maâloul,33,Túnez
Wajdi Kechrida,28,Túnez
Hannibal Mejbri,21,Túnez
Ferjani Sassi,31,Túnez
Ellyes Skhiri,30,Túnez
Youssef Msakni,33,Túnez
Saifeddine Jaziri,30,Túnez
Wahbi Khazri,34,Túnez
